index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
0,W36X282,282,82.9,37.1,16.6,0.885,1.57,5.29,36.2,19600,1190,1050,15.4,1200,223,144,3.8,52.7,378000,4.5
1,W33X291,291,85.6,34.8,15.9,0.96,1.73,4.6,31,17700,1160,1020,14.4,1160,226,146,3.68,65.1,319000,4.34
2,W36X262,262,77.2,36.9,16.6,0.84,1.44,5.75,38.2,17900,1100,972,15.3,1090,204,132,3.76,41.6,342000,4.46
3,W36X256,256,75.3,37.4,12.2,0.96,1.73,3.53,33.8,16800,1040,895,14.9,528,137,86.5,2.65,52.9,168000,3.24
4,W33X263,263,77.4,34.5,15.8,0.87,1.57,5.03,34.3,15900,1040,919,14.3,1040,202,131,3.66,48.7,281000,4.31
5,W36X247,247,72.5,36.7,16.5,0.8,1.35,6.11,40.1,16700,1030,913,15.2,1010,190,123,3.74,34.7,316000,4.42
6,W36X231,231,68.2,36.5,16.5,0.76,1.26,6.54,42.2,15600,963,854,15.1,940,176,114,3.71,28.7,292000,4.4
7,W30X261,261,77,31.6,15.2,0.93,1.65,4.59,28.7,13100,943,829,13.1,959,196,127,3.53,54.1,215000,4.16
8,W33X241,241,71.1,34.2,15.9,0.83,1.4,5.66,35.9,14200,940,831,14.1,933,182,118,3.62,36.2,251000,4.29
9,W36X232,232,68,37.1,12.1,0.87,1.57,3.86,37.3,15000,936,809,14.8,468,122,77.2,2.62,39.6,148000,3.21
10,W33X221,221,65.3,33.9,15.8,0.775,1.28,6.2,38.5,12900,857,759,14.1,840,164,106,3.59,27.8,224000,4.25
11,W30X235,235,69.3,31.3,15.1,0.83,1.5,5.02,32.2,11700,847,748,13,855,175,114,3.51,40.3,190000,4.13
12,W36X210,210,61.9,36.7,12.2,0.83,1.36,4.48,39.1,13200,833,719,14.6,411,107,67.5,2.58,28,128000,3.18
13,W33X201,201,59.1,33.7,15.7,0.715,1.15,6.85,41.7,11600,773,686,14,749,147,95.2,3.56,20.8,198000,4.21
14,W27X235,235,69.4,28.7,14.2,0.91,1.61,4.41,26.2,9700,772,677,11.8,769,168,108,3.33,47,141000,3.92
15,W36X194,194,57,36.5,12.1,0.765,1.26,4.81,42.4,12100,767,664,14.6,375,97.7,61.9,2.56,22.2,116000,3.15
16,W30X211,211,62.3,30.9,15.1,0.775,1.32,5.74,34.5,10300,751,665,12.9,757,155,100,3.49,28.4,166000,4.11
17,W36X182,182,53.6,36.3,12.1,0.725,1.18,5.12,44.8,11300,718,623,14.5,347,90.7,57.6,2.55,18.5,107000,3.13
18,W27X217,217,63.9,28.4,14.1,0.83,1.5,4.71,28.7,8910,711,627,11.8,704,154,100,3.32,37.6,128000,3.89
19,W30X191,191,56.1,30.7,15,0.71,1.19,6.35,37.7,9200,675,600,12.8,673,138,89.5,3.46,21,146000,4.06
20,W24X229,229,67.2,26,13.1,0.96,1.73,3.79,22.5,7650,675,588,10.7,651,154,99.4,3.11,51.3,96100,3.67
21,W36X170,170,50,36.2,12,0.68,1.1,5.47,47.7,10500,668,581,14.5,320,83.8,53.2,2.53,15.1,98500,3.11
22,W27X194,194,57.1,28.1,14,0.75,1.34,5.24,31.8,7860,631,559,11.7,619,136,88.1,3.29,27.1,111000,3.85
23,W33X169,169,49.5,33.8,11.5,0.67,1.22,4.71,44.7,9290,629,549,13.7,310,84.4,53.9,2.5,17.7,82400,3.03
24,W36X160,160,47,36,12,0.65,1.02,5.88,49.9,9760,624,542,14.4,295,77.3,49.1,2.5,12.4,90200,3.09
25,W30X173,173,50.9,30.4,15,0.655,1.07,7.04,40.8,8230,607,541,12.7,598,123,79.8,3.42,15.6,129000,4.03
26,W24X207,207,60.7,25.7,13,0.87,1.57,4.14,24.8,6820,606,531,10.6,578,137,88.8,3.08,38.3,84100,3.62
27,W36X150,150,44.3,35.9,12,0.625,0.94,6.37,51.9,9040,581,504,14.3,270,70.9,45.1,2.47,10.1,82200,3.06
28,W27X178,178,52.5,27.8,14.1,0.725,1.19,5.92,32.9,7020,570,505,11.6,555,122,78.8,3.25,20.1,98400,3.83
29,W33X152,152,44.9,33.5,11.6,0.635,1.06,5.48,47.2,8160,559,487,13.5,273,73.9,47.2,2.47,12.4,71700,3.01
30,W24X192,192,56.5,25.5,13,0.81,1.46,4.43,26.6,6260,559,491,10.5,530,126,81.8,3.07,30.8,76300,3.6
31,W21X201,201,59.3,23,12.6,0.91,1.63,3.86,20.6,5310,530,461,9.47,542,133,86.1,3.02,40.9,62000,3.55
32,W27X161,161,47.6,27.6,14,0.66,1.08,6.49,36.1,6310,515,458,11.5,497,109,70.9,3.23,15.1,87300,3.79
33,W33X141,141,41.5,33.3,11.5,0.605,0.96,6.01,49.6,7450,514,448,13.4,246,66.9,42.7,2.43,9.7,64400,2.98
34,W24X176,176,51.7,25.2,12.9,0.75,1.34,4.81,28.7,5680,511,450,10.5,479,115,74.3,3.04,23.9,68400,3.57
35,W30X148,148,43.6,30.7,10.5,0.65,1.18,4.44,41.6,6680,500,436,12.4,227,68,43.3,2.28,14.5,49400,2.77
36,W21X182,182,53.6,22.7,12.5,0.83,1.48,4.22,22.6,4730,476,417,9.4,483,119,77.2,3,30.7,54400,3.51
