index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
132,W21X68,68,20.0,21.1,8.27,0.43,0.685,6.04,43.6,1480,160.0,140.0,8.6,64.7,24.4,15.7,1.8,2.45,6760,2.17
133,W12X152,152,44.7,13.7,12.5,0.87,1.4,4.46,11.2,1430,243.0,209.0,5.66,454.0,111.0,72.8,3.19,25.8,17200,3.66
134,W24X55,55,16.2,23.6,7.01,0.395,0.505,6.94,54.6,1350,134.0,114.0,9.11,29.1,13.3,8.3,1.34,1.18,3870,1.72
135,W21X62,62,18.3,21.0,8.24,0.4,0.615,6.7,46.9,1330,144.0,127.0,8.54,57.5,21.7,14.0,1.77,1.83,5960,2.15
136,W16X89,89,26.2,16.8,10.4,0.525,0.875,5.92,27.0,1300,175.0,155.0,7.05,163.0,48.1,31.4,2.49,5.45,10200,2.88
137,W12X136,136,39.9,13.4,12.4,0.79,1.25,4.96,12.3,1240,214.0,186.0,5.58,398.0,98.0,64.2,3.16,18.5,14700,3.61
138,W21X57,57,16.7,21.1,6.56,0.405,0.65,5.04,46.3,1170,129.0,111.0,8.36,30.6,14.8,9.35,1.35,1.77,3190,1.68
139,W18X71,71,20.9,18.5,7.64,0.495,0.81,4.71,32.4,1170,146.0,127.0,7.5,60.3,24.7,15.8,1.7,3.49,4700,2.05
140,W16X77,77,22.6,16.5,10.3,0.455,0.76,6.77,31.2,1110,150.0,134.0,7.0,138.0,41.1,26.9,2.47,3.57,8590,2.85
141,W18X65,65,19.1,18.4,7.59,0.45,0.75,5.06,35.7,1070,133.0,117.0,7.49,54.8,22.5,14.4,1.69,2.73,4240,2.03
142,W12X120,120,35.2,13.1,12.3,0.71,1.11,5.57,13.7,1070,186.0,163.0,5.51,345.0,85.4,56.0,3.13,12.9,12400,3.56
143,W21X50,50,14.7,20.8,6.53,0.38,0.535,6.1,49.4,984,110.0,94.5,8.18,24.9,12.2,7.64,1.3,1.14,2570,1.64
144,W18X60,60,17.6,18.2,7.56,0.415,0.695,5.44,38.7,984,123.0,108.0,7.47,50.1,20.6,13.3,1.68,2.17,3850,2.02
145,W12X106,106,31.2,12.9,12.2,0.61,0.99,6.17,15.9,933,164.0,145.0,5.47,301.0,75.1,49.3,3.11,9.13,10700,3.52
146,W18X55,55,16.2,18.1,7.53,0.39,0.63,5.98,41.1,890,112.0,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430,2.0
147,W14X82,82,24.0,14.3,10.1,0.51,0.855,5.92,22.4,881,139.0,123.0,6.05,148.0,44.8,29.3,2.48,5.07,6710,2.85
148,W21X44,44,13.0,20.7,6.5,0.35,0.45,7.22,53.6,843,95.4,81.6,8.06,20.7,10.2,6.37,1.26,0.77,2110,1.6
149,W12X96,96,28.2,12.7,12.2,0.55,0.9,6.76,17.7,833,147.0,131.0,5.44,270.0,67.5,44.4,3.09,6.85,9410,3.49
150,W18X50,50,14.7,18.0,7.5,0.355,0.57,6.57,45.2,800,101.0,88.9,7.38,40.1,16.6,10.7,1.65,1.24,3040,1.98
151,W14X74,74,21.8,14.2,10.1,0.45,0.785,6.41,25.4,795,126.0,112.0,6.04,134.0,40.5,26.6,2.48,3.87,5990,2.83
152,W16X57,57,16.8,16.4,7.12,0.43,0.715,4.98,33.0,758,105.0,92.2,6.72,43.1,18.9,12.1,1.6,2.22,2660,1.92
153,W14X68,68,20.0,14.0,10.0,0.415,0.72,6.97,27.5,722,115.0,103.0,6.01,121.0,36.9,24.2,2.46,3.01,5380,2.8
154,W18X46,46,13.5,18.1,6.06,0.36,0.605,5.01,44.6,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,1720,1.58
155,W16X50,50,14.7,16.3,7.07,0.38,0.63,5.61,37.4,659,92.0,81.0,6.68,37.2,16.3,10.5,1.59,1.52,2270,1.89
156,W18X40,40,11.8,17.9,6.02,0.315,0.525,5.73,50.9,612,78.4,68.4,7.21,19.1,10.0,6.35,1.27,0.81,1440,1.56
157,W16X45,45,13.3,16.1,7.04,0.345,0.565,6.23,41.1,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,1990,1.87
158,W14X53,53,15.6,13.9,8.06,0.37,0.66,6.11,30.9,541,87.1,77.8,5.89,57.7,22.0,14.3,1.92,1.94,2540,2.22
159,W16X40,40,11.8,16.0,7.0,0.305,0.505,6.93,46.5,518,73.0,64.7,6.63,28.9,12.7,8.25,1.57,0.794,1730,1.86
160,W18X35,35,10.3,17.7,6.0,0.3,0.425,7.06,53.5,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,1140,1.51
161,W14X48,48,14.1,13.8,8.03,0.34,0.595,6.75,33.6,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91,1.45,2240,2.2
162,W12X50,50,14.6,12.2,8.08,0.37,0.64,6.31,26.8,391,71.9,64.2,5.18,56.3,21.3,13.9,1.96,1.71,1880,2.25
163,W14X38,38,11.2,14.1,6.77,0.31,0.515,6.57,39.6,385,61.5,54.6,5.87,26.7,12.1,7.88,1.55,0.7979999999999999,1230,1.82
164,W16X31,31,9.13,15.9,5.53,0.275,0.44,6.28,51.6,375,54.0,47.2,6.41,12.4,7.03,4.49,1.17,0.461,739,1.42
165,W12X45,45,13.1,12.1,8.05,0.335,0.575,7.0,29.6,348,64.2,57.7,5.15,50.0,19.0,12.4,1.95,1.26,1650,2.23
166,W12X35,35,10.3,12.5,6.56,0.3,0.52,6.31,36.2,285,51.2,45.6,5.25,24.5,11.5,7.47,1.54,0.741,879,1.79
167,W14X26,26,7.69,13.9,5.03,0.255,0.42,5.98,48.1,245,40.2,35.3,5.65,8.91,5.54,3.55,1.08,0.358,405,1.3
168,W12X22,22,6.48,12.3,4.03,0.26,0.425,4.74,41.8,156,29.3,25.4,4.91,4.66,3.66,2.31,0.848,0.293,164,1.04
169,W12X19,19,5.57,12.2,4.01,0.235,0.35,5.72,46.2,130,24.7,21.3,4.82,3.76,2.98,1.88,0.8220000000000001,0.18,131,1.02
